series,type,source_shield,HV,trigger,duration_min,on_nsdf,n_dumps,first_dump,last_dump,missing_dumps,size_gib,live_check,hidden_by_filter,local_dumps,local_empty_stubs
07220921_0915,Side2,"PuBe / Pb&poly, lead stack, borax",-81.1,DCRC1pB 10,77,True,77,1,77,0,5.83,listed dumps found; none beyond,False,0,0
07220921_1034,Side2,"PuBe / Pb&poly, lead stack, borax",-81.3,NaI,303,True,303,1,303,0,5.77,listed dumps found; none beyond,False,0,0
07220921_1541,Side2,"PuBe / Pb&poly, lead stack, borax",-81.4,DCRC1pB 10,49,True,49,1,49,0,3.68,listed dumps found; none beyond,False,0,0
07220921_1631,Side2,"PuBe / Pb&poly, lead stack, borax",-81.4,NaI,138,True,138,1,138,0,2.62,listed dumps found; none beyond,False,0,0
07220921_1851,Side2,"PuBe / Pb&poly, lead stack, borax",,,,True,4,1,4,0,0.07,listed dumps found; none beyond,False,0,0
07220921_2055,Side2,"PuBe / Pb&poly, lead stack, borax",-81.4,DCRC1pB 10,758,True,758,1,758,0,10.42,listed dumps found; none beyond,False,0,0
07220923_1709,Side2,"Am / Pb&poly, lead stack, borax",0,DCRC1pB 10,37,False,0,,,,,absent (F0001-F0005),False,0,0
07220923_1746,Side2,"Am / Pb&poly, lead stack, borax",0,NaI,1095,False,0,,,,,absent (F0001-F0005),False,0,0
07220924_1233,Side2,"Am / Pb&poly, lead stack, borax",-4.1,DCRC1pB 10,57,False,0,,,,,absent (F0001-F0005),False,0,0
07220924_1331,Side2,"Am / Pb&poly, lead stack, borax",-4.1,NaI,185,False,0,,,,,absent (F0001-F0005),False,0,0
07220925_1006,Side2,"Am / Pb&poly, lead stack, borax",-21.1,DCRC1pB 10,49,False,0,,,,,absent (F0001-F0005),False,0,0
07220925_1056,Side2,"Am / Pb&poly, lead stack, borax",-21.2,NaI,54,False,0,,,,,absent (F0001-F0005),False,0,0
07220925_1320,Side2,"Am / Pb&poly, lead stack, borax",-21.3,NaI,113,False,0,,,,,absent (F0001-F0005),False,0,0
07220925_1649,Side2,"Am / Pb&poly, lead stack, borax",-82.3,DCRC1pB 10,48,False,0,,,,,absent (F0001-F0005),False,0,0
07220925_1737,Side2,"Am / Pb&poly, lead stack, borax",-82.5,NaI,906,False,0,,,,,absent (F0001-F0005),False,0,0
07220929_1526,Side2,"Am / Pb&poly, lead stack, borax",0,DCRC1pA 2,51,False,0,,,,,absent (F0001-F0005),False,0,0
